Account Name,Industry,Account Source,School Name,School District,County,Account Status,Street Address,,City,Country,Created,Created By,Details
William H. Ross Iii School - Margate City School District,Education,New Jersey Public Records - School Data,William H. Ross Iii School,Margate City School District - Atlantic County,Atlantic,None,101 N Haverford Avenue,,Margate,United States,1/25/19 23:54,Brandon Lipman,
William L Antheil Elementary School - Ewing Township School District,Education,New Jersey Public Records - School Data,William L Antheil Elementary School,Ewing Township School District - Mercer County,Mercer,None,339 Ewingville Road,,Ewing,United States,1/25/19 23:56,Brandon Lipman,
William L Dickinson High School - Jersey City Public Schools,Education,New Jersey Public Records - School Data,William L Dickinson High School,Jersey City Public Schools - Hudson County,Hudson,None,2 Palisade Ave,,Jersey City,United States,1/25/19 23:56,Brandon Lipman,
William P Tatem Elementary School - Collingswood Public School District,Education,New Jersey Public Records - School Data,William P Tatem Elementary School,Collingswood Public School District - Camden County,Camden,None,265 Lincoln Avenue,,Collingswood,United States,1/25/19 23:55,Brandon Lipman,
Williamstown Middle School - Monroe Township Public School District,Education,New Jersey Public Records - School Data,Williamstown Middle School,Monroe Township Public School District - Gloucester County,Gloucester,None,561 Clayton Rd,,Williamstown,United States,1/25/19 23:56,Brandon Lipman,
Willingboro High School - Willingboro Public School District,Education,New Jersey Public Records - School Data,Willingboro High School,Willingboro Public School District - Burlington County,Burlington,None,20 Jfk Way,,Willingboro,United States,1/25/19 23:55,Brandon Lipman,
Willingboro Memorial Middle Schcool - Willingboro Public School District,Education,New Jersey Public Records - School Data,Willingboro Memorial Middle Schcool,Willingboro Public School District - Burlington County,Burlington,None,451 Van Sciver Parkway,,Willingboro,United States,1/25/19 23:55,Brandon Lipman,
Willliamstown High School - Monroe Township Public School District,Education,New Jersey Public Records - School Data,Willliamstown High School,Monroe Township Public School District - Gloucester County,Gloucester,None,700 N Tuckahoe Rd,,Williamstown,United States,1/25/19 23:56,Brandon Lipman,
Wilson Avenue School - Newark Public School District,Education,New Jersey Public Records - School Data,Wilson Avenue School,Newark Public School District - Essex County,Essex,None,19 Wilson Ave,,Newark,United States,1/25/19 23:55,Brandon Lipman,
Wilson Elementary School - Caldwell-West Caldwell School District,Education,New Jersey Public Records - School Data,Wilson Elementary School,Caldwell-West Caldwell School District - Essex County,Essex,None,71 Orton Rd,,West Caldwell,United States,1/25/19 23:56,Brandon Lipman,
Wilson Elementary School - Trenton Public School District,Education,New Jersey Public Records - School Data,Wilson Elementary School,Trenton Public School District - Mercer County,Mercer,None,175 Girard Avenue,,Trenton,United States,1/25/19 23:56,Brandon Lipman,
Wilson School - Lodi School District,Education,New Jersey Public Records - School Data,Wilson School,Lodi School District - Bergen County,Bergen,None,80 Union Street,,Lodi,United States,1/25/19 23:54,Brandon Lipman,
Winslow Township Elementary School Five - Winslow Township School District,Education,New Jersey Public Records - School Data,Winslow Township Elementary School Five,Winslow Township School District - Camden County,Camden,None,130 Oak Leaf Road,,Berlin,United States,1/25/19 23:55,Brandon Lipman,
Winslow Township Elementary School Four - Winslow Township School District,Education,New Jersey Public Records - School Data,Winslow Township Elementary School Four,Winslow Township School District - Camden County,Camden,None,541 Kali Road,,Sicklerville,United States,1/25/19 23:55,Brandon Lipman,
Winslow Township Elementary School One - Winslow Township School District,Education,New Jersey Public Records - School Data,Winslow Township Elementary School One,Winslow Township School District - Camden County,Camden,None,413 Inskip Road,,Blue Anchor,United States,1/25/19 23:55,Brandon Lipman,
Winslow Township Elementary School Six - Winslow Township School District,Education,New Jersey Public Records - School Data,Winslow Township Elementary School Six,Winslow Township School District - Camden County,Camden,None,617 Sickler Avenue,,Sicklerville,United States,1/25/19 23:55,Brandon Lipman,
Winslow Township Elementary School Three - Winslow Township School District,Education,New Jersey Public Records - School Data,Winslow Township Elementary School Three,Winslow Township School District - Camden County,Camden,None,131 Sicklerville Road,,Sicklerville,United States,1/25/19 23:55,Brandon Lipman,
Winslow Township Elementary School Two - Winslow Township School District,Education,New Jersey Public Records - School Data,Winslow Township Elementary School Two,Winslow Township School District - Camden County,Camden,None,125 First Avenue,,Sicklerville,United States,1/25/19 23:55,Brandon Lipman,
Winslow Township High School - Winslow Township School District,Education,New Jersey Public Records - School Data,Winslow Township High School,Winslow Township School District - Camden County,Camden,None,10 Cooper Folly Road,,Atco,United States,1/25/19 23:55,Brandon Lipman,
Winslow Township Middle School - Winslow Township School District,Education,New Jersey Public Records - School Data,Winslow Township Middle School,Winslow Township School District - Camden County,Camden,None,30 Cooper Folly Road,,Atco,United States,1/25/19 23:55,Brandon Lipman,
Woodbine Elementary School - Woodbine School District,Education,New Jersey Public Records - School Data,Woodbine Elementary School,Woodbine School District - Cape May County,Cape May,None,801 Webster Street,,Woodbine,United States,1/25/19 23:55,Brandon Lipman,
Woodbury Heights Elementary - Woodbury Heights Public School District,Education,New Jersey Public Records - School Data,Woodbury Heights Elementary,Woodbury Heights Public School District - Gloucester County,Gloucester,None,100 Academy Ave,,Woodbury Hts,United States,1/25/19 23:56,Brandon Lipman,
Woodbury Jr-Sr High School - Woodbury City Public School District,Education,New Jersey Public Records - School Data,Woodbury Jr-Sr High School,Woodbury City Public School District - Gloucester County,Gloucester,None,25 N. Broad Street,,Woodbury,United States,1/25/19 23:56,Brandon Lipman,
Woodcliff Middle School - Woodcliff Lake School District,Education,New Jersey Public Records - School Data,Woodcliff Middle School,Woodcliff Lake School District - Bergen County,Bergen,None,134 Woodcliff Ave,,Woodcliff Lake,United States,1/25/19 23:54,Brandon Lipman,
Woodcrest Elementary School - Cherry Hill School District,Education,New Jersey Public Records - School Data,Woodcrest Elementary School,Cherry Hill School District - Camden County,Camden,None,400 Cranford Dr.,,Cherry Hill,United States,1/25/19 23:55,Brandon Lipman,
Woodglen School - Lebanon Township School District,Education,New Jersey Public Records - School Data,Woodglen School,Lebanon Township School District - Hunterdon County,Hunterdon,None,70 Bunnvale Road,,Califon,United States,1/25/19 23:56,Brandon Lipman,
Woodland Middle School - Barrington School District,Education,New Jersey Public Records - School Data,Woodland Middle School,Barrington School District - Camden County,Camden,None,1 School Lane,,Barrington,United States,1/25/19 23:55,Brandon Lipman,
Woodlynne Boro Public School - Woodlynne School District,Education,New Jersey Public Records - School Data,Woodlynne Boro Public School,Woodlynne School District - Camden County,Camden,None,131 Elm Avenue,,Woodlynne,United States,1/25/19 23:55,Brandon Lipman,
Wood-Ridge Intermediate School - Wood-Ridge School District,Education,New Jersey Public Records - School Data,Wood-Ridge Intermediate School,Wood-Ridge School District - Bergen County,Bergen,None,151 First Street,,Wood-Ridge,United States,1/25/19 23:54,Brandon Lipman,
Wood-Ridge Jr/Sr High School - Wood-Ridge School District,Education,New Jersey Public Records - School Data,Wood-Ridge Jr/Sr High School,Wood-Ridge School District - Bergen County,Bergen,None,258 Hackensack St,,Wood Ridge,United States,1/25/19 23:54,Brandon Lipman,
Woodrow Wilson Community School - Bayonne School District,Education,New Jersey Public Records - School Data,Woodrow Wilson Community School,Bayonne School District - Hudson County,Hudson,None,101 West 56Th Street,,Bayonne,United States,1/25/19 23:56,Brandon Lipman,
Woodrow Wilson High School - Camden City School District,Education,New Jersey Public Records - School Data,Woodrow Wilson High School,Camden City School District - Camden County,Camden,None,3100 Federal Street,,Camden,United States,1/25/19 23:55,Brandon Lipman,
Woodrow Wilson School #5 - Garfield Public School District,Education,New Jersey Public Records - School Data,Woodrow Wilson School #5,Garfield Public School District - Bergen County,Bergen,None,205 Outwater Lane,,Garfield,United States,1/25/19 23:54,Brandon Lipman,
Woodruff Middle School - Upper Deerfield Township School District,Education,New Jersey Public Records - School Data,Woodruff Middle School,Upper Deerfield Township School District - Cumberland County,Cumberland,None,1385 Highway 77,,Seabrook,United States,1/25/19 23:55,Brandon Lipman,
Woodside Avenue School - Franklin Lakes School District,Education,New Jersey Public Records - School Data,Woodside Avenue School,Franklin Lakes School District - Bergen County,Bergen,None,305 Woodside Avenue,,Franklin Lakes,United States,1/25/19 23:54,Brandon Lipman,
Woodside Elementary School - River Vale Public School District,Education,New Jersey Public Records - School Data,Woodside Elementary School,River Vale Public School District - Bergen County,Bergen,None,801 Rivervale Rd,,River Vale,United States,1/25/19 23:54,Brandon Lipman,
W. R. James Sr. Elementary School - Willingboro Public School District,Education,New Jersey Public Records - School Data,W. R. James Sr. Elementary School,Willingboro Public School District - Burlington County,Burlington,None,41 Pinetree Lane,,Willingboro,United States,1/25/19 23:55,Brandon Lipman,
